"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pullutant Standard","Metric Used","Method Name","Year","Units of Measure","Event Type","Observation Count","Observation Percent","Valid Day Count","Required Day Count","Exceptional Data Count","Null Data Count","Primary Exceedance Count","Secondary Exceedance Count","Certification Indicator","Num Obs Below MDL","Arithmetic Mean","Arithmetic Standard Dev","1st Max Value","1st Max DateTime","2nd Max Value","2nd Max DateTime","3rd Max Value","3rd Max DateTime","4th Max Value","4th Max DateTime","1st Max Non Overlapping Value","1st NO Max DateTime","2nd Max Non Overlapping Value","2nd NO Max DateTime","99th Percentile","98th Percentile","95th Percentile","90th Percentile","75th Percentile","50th Percentile","10th Percentile","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","Daily Mean","",2014,"Micrograms/cubic meter (LC)","No Events",28,8,28,365,0,0,1,1,"Certification not required",0,18.203571,9.465277,42.9,"2014-01-24 00:00",33.2,"2014-01-07 00:00",32.7,"2014-01-23 00:00",31.8,"2014-01-06 00:00","","","","",42.9,42.9,33.2,32.7,25.3,16.2,7.1,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0007","88101",3,37.687526,-121.784217,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2006","Quarterly Means of Daily Means","",2014,"Micrograms/cubic meter (LC)","No Events",28,8,28,365,0,0,"","","Certification not required",0,18.203571,9.465277,42.9,"2014-01-24 00:00",33.2,"2014-01-07 00:00",32.7,"2014-01-23 00:00",31.8,"2014-01-06 00:00","","","","",42.9,42.9,33.2,32.7,25.3,16.2,7.1,"Livermore - Rincon","793 RINCON AVE.","California","Alameda","Livermore","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42101",1,37.743065,-122.169935,"NAD83","Carbon monoxide","1 HOUR","CO 1-hour 1971","Obseved hourly values","INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER",2014,"Parts per million","No Events",686,8,31,365,0,0,0,0,"Certification not required",393,0.539723,0.43475,2.8,"2014-01-17 08:00",2.6,"2014-01-06 08:00",2.5,"2014-01-21 07:00",2.5,"2014-01-21 08:00","","","","",2.2,1.9,1.5,1.1,0.7,0.25,0.25,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42101",1,37.743065,-122.169935,"NAD83","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","8-Hour running average (end hour) of observed hourly values","",2014,"Parts per million","No Events",739,8,30,365,0,0,0,0,"Certification not required",0,0.556969,0.280417,1.7,"2014-01-06 10:00",1.6,"2014-01-06 11:00",1.6,"2014-01-17 10:00",1.6,"2014-01-21 10:00",1.7,"2014-01-06 10:00",1.6,"2014-01-17 10:00",1.5,1.3,1.1,0.9,0.7,0.5,0.3,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42601",1,37.743065,-122.169935,"NAD83","Nitric oxide (NO)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",686,8,31,365,0,0,"","","Certification not required",0,23.408601,31.309136,210.5,"2014-01-06 09:00",203,"2014-01-17 08:00",177.2,"2014-01-21 09:00",173.2,"2014-01-21 08:00","","","","",157.1,129,90.4,63.5,30.2,11,1.7,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42602",1,37.743065,-122.169935,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum 1-hour average","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",686,8,31,365,0,0,0,"","Certification not required",0,43.593548,11.83582,60.8,"2014-01-06 09:00",59,"2014-01-21 09:00",57.6,"2014-01-17 09:00",57,"2014-01-23 21:00","","","","",60.8,60.8,59,57,53.4,45.1,25.7,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42602",1,37.743065,-122.169935,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","Observed values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",686,8,31,365,0,0,"","","Certification not required",0,26.181633,12.641036,60.8,"2014-01-06 09:00",59,"2014-01-21 09:00",57.6,"2014-01-17 09:00",57,"2014-01-23 21:00","","","","",53.6,52.2,48.1,43.8,35.4,25.7,8.8,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","42603",1,37.743065,-122.169935,"NAD83","Oxides of nitrogen (NOx)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",686,8,31,365,0,0,"","","Certification not required",0,49.593149,41.316515,271.4,"2014-01-06 09:00",253.6,"2014-01-17 08:00",236.2,"2014-01-21 09:00",225.7,"2014-01-17 09:00","","","","",198.6,178.9,133.7,103.2,66,37,11.3,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","44201",1,37.743065,-122.169935,"NAD83","Ozone","1 HOUR","Ozone 1-hour Daily 2005","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET",2014,"Parts per million","No Events",686,8,31,365,0,0,0,0,"Certification not required",273,0.027742,0.009252,0.048,"2014-01-23 16:00",0.044,"2014-01-15 14:00",0.041,"2014-01-16 12:00",0.038,"2014-01-05 13:00","","","","",0.048,0.048,0.044,0.038,0.034,0.027,0.016,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","44201",1,37.743065,-122.169935,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",739,8,31,365,0,0,0,0,"Certification not required",0,0.019903,0.009823,0.041,"2014-01-23 10:00",0.036,"2014-01-15 10:00",0.035,"2014-01-16 09:00",0.034,"2014-01-30 13:00","","","","",0.041,0.041,0.036,0.034,0.025,0.017,0.009,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","44201",1,37.743065,-122.169935,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",739,8,31,365,0,0,0,0,"Certification not required",0,0.019903,0.009823,0.041,"2014-01-23 10:00",0.036,"2014-01-15 10:00",0.035,"2014-01-16 09:00",0.034,"2014-01-30 13:00","","","","",0.041,0.041,0.036,0.034,0.025,0.017,0.009,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","1 HOUR","","Observed Values","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation",2014,"Micrograms/cubic meter (LC)","No Events",741,8,31,365,0,0,"","","Certification not required",0,14.839406,11.236517,55,"2014-01-23 20:00",54,"2014-01-23 19:00",53,"2014-01-23 21:00",51,"2014-01-23 22:00","","","","",48,46,37,32,21,11,4,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","Daily Mean","",2014,"Micrograms/cubic meter (LC)","No Events",31,8,31,365,0,0,1,1,"Certification not required",0,14.777419,8.253674,37.6,"2014-01-24 00:00",29.7,"2014-01-07 00:00",26.9,"2014-01-06 00:00",24.9,"2014-01-01 00:00","","","","",37.6,37.6,29.7,24.9,20.5,12.1,5.4,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0009","88101",3,37.743065,-122.169935,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2006","Quarterly Means of Daily Means","",2014,"Micrograms/cubic meter (LC)","No Events",31,8,31,365,0,0,"","","Certification not required",0,14.777419,8.253674,37.6,"2014-01-24 00:00",29.7,"2014-01-07 00:00",26.9,"2014-01-06 00:00",24.9,"2014-01-01 00:00","","","","",37.6,37.6,29.7,24.9,20.5,12.1,5.4,"Oakland East","9925 International Blvd","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42101",1,37.814781,-122.282347,"NAD83","Carbon monoxide","1 HOUR","CO 1-hour 1971","Obseved hourly values","INSTRUMENTAL - NONDISPERSIVE INFRARED",2014,"Parts per million","No Events",692,8,30,365,0,0,0,0,"Certification not required",229,0.83909,0.666345,3,"2014-01-03 08:00",3,"2014-01-04 23:00",3,"2014-01-20 23:00",2.9,"2014-01-01 00:00","","","","",2.9,2.6,2.2,1.9,1.1,0.6,0.25,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42101",1,37.814781,-122.282347,"NAD83","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","8-Hour running average (end hour) of observed hourly values","",2014,"Parts per million","No Events",707,8,28,365,0,0,0,0,"Certification not required",0,0.850354,0.545789,2.6,"2014-01-01 06:00",2.5,"2014-01-01 07:00",2.5,"2014-01-05 00:00",2.5,"2014-01-05 01:00",2.6,"2014-01-01 06:00",2.5,"2014-01-05 00:00",2.3,2.1,2,1.7,1.2,0.7,0.3,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42401",1,37.814781,-122.282347,"NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","Daily maximum 1-hour average","INSTRUMENTAL - PULSED FLUORESCENT",2014,"Parts per billion","No Events",661,8,30,365,0,0,0,"","Certification not required",0,2.94,2.895014,11.3,"2014-01-14 11:00",10.3,"2014-01-15 16:00",8.1,"2014-01-22 12:00",7.4,"2014-01-01 10:00","","","","",11.3,11.3,10.3,8.1,3.4,2.3,0.3,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42401",1,37.814781,-122.282347,"NAD83","Sulfur dioxide","1 HOUR","SO2 Annual 1971","Observed Values","INSTRUMENTAL - PULSED FLUORESCENT",2014,"Parts per billion","No Events",661,8,30,365,0,0,"","","Certification not required",0,0.793949,1.399078,11.3,"2014-01-14 11:00",10.3,"2014-01-15 16:00",9.2,"2014-01-14 14:00",8.7,"2014-01-14 15:00","","","","",7.4,5.8,3.1,2,1,0.5,-0.2,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42401",1,37.814781,-122.282347,"NAD83","Sulfur dioxide","24-HR BLK AVG","SO2 24-hour 1971","Daily Average of observed values","",2014,"Parts per billion","No Events",30,8,30,365,0,0,0,"","Certification not required",0,0.766667,0.833908,3.3,"2014-01-14 00:00",2.6,"2014-01-01 00:00",1.7,"2014-01-02 00:00",1.7,"2014-01-03 00:00","","","","",3.3,3.3,2.6,1.7,1.2,0.7,-0.1,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42401",1,37.814781,-122.282347,"NAD83","Sulfur dioxide","3-HR BLK AVG","SO2 3-hour 1971","3-Hour block average of observed hourly values","",2014,"Parts per billion","No Events",200,7,26,365,0,0,"",0,"Certification not required",0,0.8125,1.302257,8,"2014-01-14 11:00",6.9,"2014-01-14 14:00",6.6,"2014-01-01 11:00",6.1,"2014-01-14 17:00","","","","",6.9,6.1,3.9,1.9,1.1,0.5,-0.2,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42406",1,37.814781,-122.282347,"NAD83","SO2 max 5-min avg","1 HOUR","","Observed Values","INSTRUMENTAL - PULSED FLUORESCENT",2014,"Parts per billion","No Events",674,8,30,365,0,0,"","","Certification not required",0,1.357418,3.008124,40.2,"2014-01-15 16:00",22.8,"2014-01-14 16:00",22.3,"2014-01-14 15:00",20.6,"2014-01-14 11:00","","","","",18.8,11.4,4.4,2.8,1.3,0.7,-0.1,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42601",1,37.814781,-122.282347,"NAD83","Nitric oxide (NO)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",692,8,30,365,0,0,"","","Certification not required",0,43.733382,54.669012,298.5,"2014-01-03 08:00",256.3,"2014-01-03 07:00",236.2,"2014-01-21 08:00",228.5,"2014-01-21 07:00","","","","",194,185.6,165.6,135.3,65,17.1,1.4,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42602",1,37.814781,-122.282347,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour","Daily Maximum 1-hour average","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",692,8,30,365,0,0,0,"","Certification not required",0,43.036667,8.761101,56,"2014-01-21 09:00",54.9,"2014-01-17 19:00",54.7,"2014-01-24 17:00",54.6,"2014-01-02 19:00","","","","",56,56,54.9,54.7,51.1,44.8,33.1,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42602",1,37.814781,-122.282347,"NAD83","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","Observed values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",692,8,30,365,0,0,"","","Certification not required",0,29.088584,12.288266,56,"2014-01-21 09:00",54.9,"2014-01-17 19:00",54.7,"2014-01-24 17:00",54.6,"2014-01-02 19:00","","","","",53.5,52.4,47.3,44.5,38.5,30.4,10.6,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","42603",1,37.814781,-122.282347,"NAD83","Oxides of nitrogen (NOx)","1 HOUR","","Observed Values","INSTRUMENTAL - CHEMILUMINESCENCE",2014,"Parts per billion","No Events",693,8,30,365,0,0,"","","Certification not required",0,72.787734,62.791903,351.6,"2014-01-03 08:00",299.5,"2014-01-03 07:00",288.4,"2014-01-21 08:00",273.8,"2014-01-21 07:00","","","","",233.3,226.4,203.9,175.6,102,49,13,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","44201",1,37.814781,-122.282347,"NAD83","Ozone","1 HOUR","Ozone 1-hour Daily 2005","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET",2014,"Parts per million","No Events",691,8,30,365,0,0,0,0,"Certification not required",332,0.025033,0.008849,0.051,"2014-01-23 15:00",0.038,"2014-01-15 14:00",0.037,"2014-01-30 15:00",0.036,"2014-01-05 14:00","","","","",0.051,0.051,0.038,0.037,0.031,0.023,0.015,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","44201",1,37.814781,-122.282347,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",706,8,28,365,0,0,0,0,"Certification not required",0,0.017893,0.008368,0.04,"2014-01-23 09:00",0.031,"2014-01-13 08:00",0.03,"2014-01-05 08:00",0.029,"2014-01-15 08:00","","","","",0.04,0.04,0.031,0.03,0.024,0.016,0.008,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","44201",1,37.814781,-122.282347,"NAD83","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values","",2014,"Parts per million","No Events",706,8,28,365,0,0,0,0,"Certification not required",0,0.017893,0.008368,0.04,"2014-01-23 09:00",0.031,"2014-01-13 08:00",0.03,"2014-01-05 08:00",0.029,"2014-01-15 08:00","","","","",0.04,0.04,0.031,0.03,0.024,0.016,0.008,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","84313",1,37.814781,-122.282347,"NAD83","Black carbon PM2.5 STP","1 HOUR","","Observed Values","Magee Scientific AE21HS Aethalometer - Optical absorption",2014,"Micrograms/cubic meter (25 C)","No Events",740,8,31,365,0,0,"","","Certification not required",18,2.096865,1.73941,11.24,"2014-01-03 23:00",9.65,"2014-01-01 02:00",9.58,"2014-01-01 03:00",9.39,"2014-01-24 15:00","","","","",7.99,6.56,5.22,4.53,3.01,1.62,0.39,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","88101",3,37.814781,-122.282347,"NAD83","PM2.5 - Local Conditions","1 HOUR","","Observed Values","Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation",2014,"Micrograms/cubic meter (LC)","No Events",742,8,31,365,0,0,"","","Certification not required",0,17.936658,11.492533,85,"2014-01-01 01:00",75,"2014-01-01 02:00",73,"2014-01-01 00:00",66,"2014-01-03 23:00","","","","",52,44,38,34,25,16,6,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
"06","001","0011","88101",3,37.814781,-122.282347,"NAD83","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2006","Daily Mean","",2014,"Micrograms/cubic meter (LC)","No Events",31,8,31,365,0,0,1,1,"Certification not required",0,17.877419,8.942435,38.8,"2014-01-01 00:00",33.8,"2014-01-17 00:00",30.9,"2014-01-24 00:00",27.2,"2014-01-19 00:00","","","","",38.8,38.8,33.8,27.2,25.5,17.4,7.7,"Oakland West","1100 21st Street","California","Alameda","Oakland","San Francisco-Oakland-Fremont, CA","2014-02-21"
